Year	Month	Date	Production	Product2014
1930	Jan	1930.04	293.23	
1930	Feb	1930.13	315.00	
1930	March	1930.21	317.42	
1930	April	1930.29	339.00	
1930	May	1930.38	411.29	
1930	June	1930.46	444.00	
1930	July	1930.54	385.16	
1930	Aug	1930.63	325.16	
1930	Sept	1930.71	294.00	
1930	Oct	1930.79	284.52	
1930	Nov	1930.88	269.00	
1930	Dec	1930.96	280.65	
1931	Jan	1931.04	305.81	
1931	Feb	1931.13	320.36	
1931	March	1931.21	320.32	
1931	April	1931.29	351.00	
1931	May	1931.38	413.23	
1931	June	1931.46	458.00	
1931	July	1931.54	394.84	
1931	Aug	1931.63	342.58	
1931	Sept	1931.71	326.00	
1931	Oct	1931.79	323.23	
1931	Nov	1931.88	305.00	
1931	Dec	1931.96	298.06	
1932	Jan	1932.04	318.39	
1932	Feb	1932.13	336.21	
1932	March	1932.21	341.61	
1932	April	1932.29	362.00	
1932	May	1932.38	416.13	
1932	June	1932.46	455.00	
1932	July	1932.54	378.39	
1932	Aug	1932.63	351.29	
1932	Sept	1932.71	340.00	
1932	Oct	1932.79	322.26	
1932	Nov	1932.88	300.00	
1932	Dec	1932.96	302.90	
1933	Jan	1933.04	326.13	
1933	Feb	1933.13	338.57	
1933	March	1933.21	341.61	
1933	April	1933.29	358.00	
1933	May	1933.38	419.03	
1933	June	1933.46	468.00	
1933	July	1933.54	395.81	
1933	Aug	1933.63	363.87	
1933	Sept	1933.71	327.00	
1933	Oct	1933.79	311.61	
1933	Nov	1933.88	296.00	
1933	Dec	1933.96	292.26	
1934	Jan	1934.04	305.81	
1934	Feb	1934.13	313.93	
1934	March	1934.21	320.32	
1934	April	1934.29	340.00	
1934	May	1934.38	415.16	
1934	June	1934.46	459.00	
1934	July	1934.54	384.19	
1934	Aug	1934.63	361.94	
1934	Sept	1934.71	351.00	
1934	Oct	1934.79	334.84	
1934	Nov	1934.88	300.00	
1934	Dec	1934.96	278.71	
1935	Jan	1935.04	289.35	
1935	Feb	1935.13	301.07	
1935	March	1935.21	312.58	
1935	April	1935.29	342.00	
1935	May	1935.38	414.19	
1935	June	1935.46	471.00	
1935	July	1935.54	416.13	
1935	Aug	1935.63	382.26	
1935	Sept	1935.71	365.00	
1935	Oct	1935.79	325.16	
1935	Nov	1935.88	290.00	
1935	Dec	1935.96	287.42	
1936	Jan	1936.04	309.68	
1936	Feb	1936.13	315.52	
1936	March	1936.21	329.03	
1936	April	1936.29	357.00	
1936	May	1936.38	429.68	
1936	June	1936.46	489.00	
1936	July	1936.54	413.23	
1936	Aug	1936.63	379.35	
1936	Sept	1936.71	385.00	
1936	Oct	1936.79	360.97	
1936	Nov	1936.88	313.00	
1936	Dec	1936.96	309.68	
1937	Jan	1937.04	326.13	
1937	Feb	1937.13	342.86	
1937	March	1937.21	351.29	
1937	April	1937.29	375.00	
1937	May	1937.38	435.48	
1937	June	1937.46	490.00	
1937	July	1937.54	420.00	
1937	Aug	1937.63	386.13	
1937	Sept	1937.71	365.00	
1937	Oct	1937.79	328.06	
1937	Nov	1937.88	294.00	
1937	Dec	1937.96	294.19	
1938	Jan	1938.04	310.65	
1938	Feb	1938.13	327.86	
1938	March	1938.21	343.55	
1938	April	1938.29	379.00	
1938	May	1938.38	440.32	
1938	June	1938.46	494.00	
1938	July	1938.54	435.48	
1938	Aug	1938.63	408.39	
1938	Sept	1938.71	390.00	
1938	Oct	1938.79	348.39	
1938	Nov	1938.88	311.00	
1938	Dec	1938.96	306.77	
1939	Jan	1939.04	335.81	
1939	Feb	1939.13	360.00	
1939	March	1939.21	371.61	
1939	April	1939.29	394.00	
1939	May	1939.38	466.45	
1939	June	1939.46	508.00	
1939	July	1939.54	445.16	
1939	Aug	1939.63	418.06	
1939	Sept	1939.71	393.00	
1939	Oct	1939.79	351.29	
1939	Nov	1939.88	327.00	
1939	Dec	1939.96	325.16	
1940	Jan	1940.04	348.39	
1940	Feb	1940.13	367.24	
1940	March	1940.21	379.35	
1940	April	1940.29	413.00	
1940	May	1940.38	474.19	
1940	June	1940.46	521.00	
1940	July	1940.54	470.32	
1940	Aug	1940.63	425.81	
1940	Sept	1940.71	407.00	
1940	Oct	1940.79	387.10	
1940	Nov	1940.88	337.00	
1940	Dec	1940.96	336.77	
1941	Jan	1941.04	360.97	
1941	Feb	1941.13	385.71	
1941	March	1941.21	390.97	
1941	April	1941.29	435.00	
1941	May	1941.38	510.97	
1941	June	1941.46	533.00	
1941	July	1941.54	465.48	
